类别：所有类别

区域,squishmallow cow: (2023/4/18 - 2024/4/18)
West Virginia,100
Maine,96
Iowa,90
Alaska,90
Indiana,90
Delaware,84
Nebraska,84
Wisconsin,84
Kansas,81
New Mexico,81
Utah,78
Kentucky,78
Oregon,78
Ohio,78
Michigan,75
Oklahoma,72
Illinois,69
Pennsylvania,69
Tennessee,66
Colorado,66
Minnesota,66
Maryland,63
Washington,63
Montana,60
Arizona,60
Idaho,60
Alabama,60
Nevada,60
Missouri,57
Connecticut,57
Texas,57
North Carolina,54
Virginia,54
New Jersey,54
Rhode Island,54
California,51
Hawaii,51
Louisiana,51
South Carolina,48
New Hampshire,48
Arkansas,48
Georgia,48
Massachusetts,45
Florida,42
New York,39
Mississippi,21
Vermont,
South Dakota,
North Dakota,
District of Columbia,
Wyoming,
